               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.025037,            0.047272,           0.0019195,             0.95926,             0.95019,             0.97931,             0.73667,            0.022329,            0.029586,          0.00093432,           0.0031888,           0.0031888,           0.0031888
                  88,            0.024883,             0.04737,           0.0019815,             0.95332,             0.93999,             0.97343,             0.72209,            0.022744,            0.031614,          0.00094954,           0.0031096,           0.0031096,           0.0031096
                  89,             0.02522,            0.047993,           0.0020732,             0.96426,             0.96235,             0.98342,              0.7538,            0.021558,            0.028632,          0.00089805,           0.0030304,           0.0030304,           0.0030304
                  90,            0.024721,            0.046846,           0.0017985,             0.96705,             0.95896,             0.98094,             0.74954,            0.021655,            0.028809,           0.0008574,           0.0029512,           0.0029512,           0.0029512
                  91,            0.025021,            0.047329,           0.0017465,             0.96293,             0.95937,              0.9833,             0.75237,            0.021457,            0.028565,          0.00082147,            0.002872,            0.002872,            0.002872
                  92,            0.024463,            0.045329,           0.0018116,             0.96066,             0.96115,             0.98213,             0.75138,            0.021422,             0.02895,          0.00082482,           0.0027928,           0.0027928,           0.0027928
                  93,            0.024575,            0.045767,            0.001946,             0.95876,             0.96234,             0.98396,             0.74725,            0.021381,            0.028848,          0.00084972,           0.0027136,           0.0027136,           0.0027136
                  94,            0.024366,            0.046376,           0.0016905,             0.95554,             0.96434,             0.98323,             0.76045,            0.021214,            0.028483,          0.00083233,           0.0026344,           0.0026344,           0.0026344
                  95,            0.024276,            0.046531,           0.0018452,             0.96339,             0.96227,             0.98487,             0.76114,            0.021285,            0.028457,          0.00081619,           0.0025552,           0.0025552,           0.0025552
                  96,              0.0238,            0.045808,           0.0014801,             0.96556,             0.96247,             0.98338,             0.76226,            0.021159,            0.028258,          0.00075936,            0.002476,            0.002476,            0.002476
                  97,            0.023943,            0.044346,           0.0015408,             0.96999,             0.95953,             0.98319,             0.76175,            0.021205,            0.028588,          0.00074724,           0.0023968,           0.0023968,           0.0023968
                  98,            0.023625,            0.045074,             0.00163,             0.96611,             0.95922,             0.98369,             0.76194,            0.020941,            0.027983,          0.00076378,           0.0023176,           0.0023176,           0.0023176
